intent,utterance
3,can you tell me how to get an invoice?
4,I want to view the status of my purchase
5,"the game was cancelled, obtain a refund"
0,"I want to notify an issue making a payment, what should I do?"
3,I want to request information about downloading some bills
3,"I want to obtain a bill, tell me where I can do it"
5,where can I receive a refund?
6,"I don't understand you , I need help contacting a human"
12,"I want to submit a comment for a service, what shouldI do ?"
4,I want to know how I can know where my order is
7,how do I view my bill?
0,"I got an error when I tried to make a payment, but my card was charged anyway, what do I have to do to report it?"
9,is it possibel to change my order?
1,"I want a user account, can I open one?"
4,can you tell me where to track my packages?
8,"my account's been hacked, recover it"
10,can u ask an agent if i can cancel my user account?
1,I want to know if I can create two user accounts with the same email address
8,"my profile was hacked, help me get it back"
10,"i changed my mind, how can i delete my profile?"
2,how can i send an email to client servioce?
2,"can u find information about the fucking mail address of the Customer Support , please?"
5,"the concert was postponed, what can I do to request a refund?"
1,can you tell me if I can create more than one account with a single email?
7,"I didn't receive my bill, what can I do to check it?"
8,"i cant remember my password, what can i do to reset it?"
2,i want information about the fucking email address of the Customer Support
7,I lost my bills and I want to vview them
6,"youre not helping, can i talk to a human?"
7,"I didn't receive my invoices, how ciuld I see them?"
4,i want to check m order
6,"I can't understand you,  talk to someone"
6,"I can't understand you, what should I do to speak with someone?"
7,"I didn't receive my bills, how do I check them?"
1,can u ask an agent where to create an account?
3,can I download some bills?
2,i want to see the number of client service
1,"I don't have a user account, what do I have to do to open one?"
9,"please, could u ask an agent where I can modify my purchase?"
10,"I want to cancel my online account, where can I do it?"
8,"someone stole my password, what should I do?"
3,"I want to request an invoice, can you show me some information?"
7,where to view my bills
4,can you tell me how I can track my package?
8,how to reset my account password
0,"I have a problem paying for my online order, inform of it"
3,tell me if I can download some bills
7,"I didn't receive my invoices, how can I view them?"
7,where do I view my invoice?
13,how do I view your refund policy  ?
3,tell me how to get an invoice
9,how to change my order
5,"I want a refund, request one"
10,"ask an agent if I could close my profile, please"
6,can you tell me if there issomeone available?
5,"the game was cancelled, how could i get a reimbursement?"
4,ask an agent if i can check my package
9,can u ask an agent for information about changing my order?
6,"your not helping, I need help contacting a human agent"
10,how can I cancel my profile?
0,"I have an issue when trying to pay for my online order, can I inform of it?"
5,"I want a refund, what do I have to do?"
13,can you tell me if I get a full refund in case I cancel my tickets?
3,where to request a bill
7,"i lost my bill, can i view it?"
2,I want information and I want to send an email to Customer Service
2,show me the number top contact Customer Service
7,could u ask an agent if i can check my fucking bills?
9,"I made a mistake, how can I chaznge my order?"
12,"I want to make an opinion for a service, what should I do?"
3,i wanna ask for information about downloading some invoices
12,"please, could you ask an agent where I could leave an opinion?"
5,"i want to get a reimbursement, what do i have to do?"
8,"my account's been hacked, and I need help getting it back"
2,"could u show me the free phone number of customer service, please?"
8,my user account was hacked and i wana get  it back
3,"I want to obtain a bill, can you show me some information?"
0,i have an issue when trying to pay and i want to report it
6,"I can't understand you, how can I speak with a human agent?"
3,is it possible to obtain an invoice?
2,show me the mail of client service
4,can you etll me howto check my packages?
5,can u ask an agent how i can receive a refund?
2,"I want information, how can I contact Customer Support?"
5,"the game was cancelled, what do i have to do to obtain a refund?"
13,can you tell me about your money back policy?
12,where can I leave an comment?
6,"you aren't helping, hlp me talk to an person, please"
5,"the concert was postponed, what should i do to get a reimbursement?"
8,i cant remember my fucking password and id like to retrieve it
0,"I have an issue when trying to pay with card, what do I have to do?"
10,"I changed my mind, what do I have to do to remove my profile?"
1,"I don't have a user account, what should I do to opn one?"
6,"I don't understand you, I need help contacting a person"
7,I didn't receive my bills and I want to check them
3,how do I get some bills?
6,"u are not helping, can u speak with a human agent?"
0,"I get an error when I attempt to make a payment, what should I do?"
4,I need help checking my order
2,can you give me information about the mail address of the Customer Support?
7,"i didn't receive my fucking invoices, can i check them?"
0,"I have a problem when trying to pay for my order, can you notify it?"
6,"i dont understand you and i want to contact a person, please"
0,can u ask an agent where to notify a problem paying?
2,"i want information, help me send an email to customer service"
4,where can I check the status of my order?
4,tell me how I ca check my order
8,my profile's been hacked and i want to get it back
3,ask an agent for information about requesting a bill
4,"I want to check the status of my order, can you help me?"
9,where can I change my purchase?
8,"I lost my password, what do I have to do?"
5,"the show was postponed, how do i request a reimbursement?"
8,ask an agent if i can reset my password
8,"i cant remember my password, what can i do to recover it?"
3,can you ask an agent if i can see a bill?
6,"you're not helping, I need help talking to a human agent"
0,ask an agent how i can solve an issue with my payment
5,"the game was postponed, could i obtain a fucking reimbursement, please?"
7,"can you ask an agent hwere I can check my fucking bills, please?"
8,"my profile has been hacked, how can i recover it?"
10,"can you ask an agent to remove my user account, please?"
1,"I want an online account, what should I do to create one?"
2,"I want information, I need help contacting fucking Client Service"
4,I want to know where I can track my packages
10,where can I cancel my user account?
7,"I can't find my bill, what do I have to do to check it?"
10,can I deletemy account?
1,"ive got no account, can i register?"
4,are my orders on their way?
8,"I lost my account password, what can I do to retrieve it?"
3,"I want to request a bill, tell me where I can do it"
11,"I'm not happy with the service, what do I have to do to lodge a complaint?"
11,"I'm not happy with the service, how can I lodge a consumer complaint?"
10,i ened help canceling my account
9,"I bought a product, how can I change my order?"
0,i need help solving a problem with my payment
0,"i have a problem when trying to pay with card, what can i do to report it?"
1,can i register several accounts with a single email address?
1,"I've got no online account , how can I open one?"
5,"i want to request a refund, can u help me?"
13,check your money back policy
7,"I didn't receive my bill, can you check it?"
8,"my profile's been hacked, what should I do?"
7,where can i check my invoices?
5,"the show was cancelled, how do i request a reimbursement?"
2,I want to know what the free number to contact Client Service is
5,"the event was cancelled, what can i do to request a reimbursement?"
6,you are not helping and I'd like to contact a human agent
4,how do I know where my packages are?
5,"the event was cancelled, what should i do to get a refund?"
2,can u  show me the email address of customer service ?
7,"I lost my invoice, can you show it?"
4,"I want to track my purchase, can you help me?"
13,how does the refund process work?
10,"i changed my mind, can i cancel my user account?"
10,can i close my account?
8,"someone stole my account password, can you retrieve it?"
2,can you show me the free phone number of Customer Support?
10,"I changed my mind and I'd like to delete my user account, please"
7,ask an agent where to check my invoice
3,"I want to obtain an invoice, tell me how to do it"
9,"I ordered a product, can I modify my order?"
6,"I don't understand you, what should I do to contact someone?"
11,"i dont like the service, i need help making a consumer complaint, please"
5,"the concert was cancelled, how do i requesr an refund?"
9,tell me how I can modify my purchase
8,"i forgot my account password, reset it"
10,"I changed my mind, what can I do to delete my user account?"
8,"my account's been hacked, what should I do?"
6,"i cant understand you, what should i do to contact a human agent?"
7,"I didn't receive my bill, can I check it?"
3,I need help obtaining a bill
8,my profile has ben hacked and I'd like to get it back
1,"I want an online account, can I create one?"
7,"I want to see my bills, what can I do?"
9,"I bought something, I need help changing my order"
6,tell me if there is any human agent available
7,"I can't find my bills, can you show them?"
1,tell me if I can own more than one account
2,"i need information, how can i send an email to client service?"
11,"id like to submit a consumer complaint for a service, what do i have to do?"
2,can u ask an agent what the mail address of the Client Service?
12,"I'm happy with the service, can you submit an opinion?"
8,"I lost my account password , what do I have to  do to recover it?"
3,what information do you have about seeing an bill?
0,i have a problem paying for my online order and i want to inform of it
8,"i cant remember my password, recover it"
4,where can I view the status of my order?
4,are my packages on their way?
8,"I want to reset my password, what do I have to do?"
4,"i wanna check my shipment, can you tell me how I can do it?"
11,"I'm not happy with the service, how do I submitr a copmlaint?"
9,"I ordered an item, I need help modifying my order"
2,can you tell me the free phone number of Client Service?
5,"i need help receiving a refund, please"
8,"I can't remember my account password, how can I retrieve it?"
3,download a bill
12,I'd like to leave a comment for a service
5,help me receive a refund
8,my profile's been hacked and id like to recover it
0,I have a problem when trying to make a payment with card and I want to report it
8,"my user account's been hacked, could i get it back?"
6,u are not helping and i wanna talk to someone
2,"I need information and I want to speak with Client Service, please"
7,"I didn't receive my invoice, show it"
8,"I lost my account password, can you reset it?"
12,"i want to lodge an opinion for a service, what should i do?"
5,"I would like to obtain a refund, could you help me?"
0,"an error message pops when I try to make a payment with card, cqn you help me?"
2,can you find information about the mail of the Customer Support?
12,"i wanna lodge a comment for a service, what should i do?"
8,"my profile's been hacked, can you get it back?"
5,"the show was postponed, elp me request a refund"
7,"can u ask an agent where to view my invoices, please?"
6,I don't understand you and I want to speak with a human agent
9,tell me where to modify my fucking order
11,"I'm not happy with the service, what do I have to do to lodge a consumer complaint?"
5,"I need a refund, help me get one"
5,"the event was ostponed, how can I request a refvund?"
11,"I want to lodge a complaint, what should I do?"
1,can I own more than one online account?
9,"i bought something, how do i modify my purchase?"
2,show me the email address to contact Customer Service
3,"I want to get an invoice, can you tell mewhere to do it?"
2,can you find information about the mail address of the Client Service?
8,ask an agent how i can retrieve my account password
5,the concert was cancelled and i wanna get a refund
12,where could I write a fucking opinion?
2,"I have a question, how can I speak with Customer Service?"
0,"I have a problem making a payment with card, what can I do to report it?"
4,"could u ask an agent how i could see the status of my purchase, please?"
11,"i dont like the service, what do i have to do to submit a complaint?"
7,help me see my bill
2,I want to know what the email address to contact Customer Service is
7,"I didn't receive my invoices, help me check them"
4,tell me if my orders are on their way
6,"youre not helping, i need help speaking with someone"
3,download an invoice
7,"I can't find my bills, can I view thm?"
6,I want to  contact a  human
4,I want to know how to know where my deliveries are
7,"I lost my bills, I need help checking them"
10,could you ask an agent if I could close my account?
5,can u ask an agent when I will obtain a reimbursement?
10,ak an agent how to close my profile
8,"my profile's beenm hacked, jow can i recover it?"
8,"my user account's been hacked, recover it"
1,how to open a online zccount
3,id like to ask for information about getting some bills
6,"I can't understand you, how do I speak with a human?"
7,ask an agent where to check my fucking bill
3,could u ask an agent where to download an invoice?
0,"I got an error message when I attempted to make a payment, but my card was charged anyway, what should I do to notify it?"
10,I changed my mind and I'd like to close my fucking user account
6,"you aren't helping, what can I do to talk to a person?"
3,I wanna know how to obtain some invoices
7,"I didn't receive my bill, what do I have to do to view it?"
7,where do i view my invoices?
13,could u askan agent ohw to check their fucking money back guarantee?
11,"I want to lodge a complaint for a service, what should I do?"
0,"I want to notify an issue paying, what do I have to do?"
8,"my online account was hacked, could u get it back, please?"
7,"I lost my invoices, can you view them?"
8,"someone stole my account password, what can I do?"
7,i can't find my bill and i want to see it
3,can you tell me if I can download an invoice?
4,I want to track my purchase
3,information about downloading an invoice
4,could u ask an agent if i can see the tsatus of my fucking purchase?
6,I want to speak with a person
7,"i can't find my bill, help me view it"
13,"I want to view your reimbursement policy, what do I have to do?"
10,"I changed my mind, what can I do to delete my online account?"
5,"the concert was postponed, what should i do to obtain a refund?"
5,"i want a reimbursement, how can i request one?"
0,"i have a problem paying for my order, what can i do?"
1,"I don't have an online account, can I open one?"
6,"youre not helping, what should i do to speak with a person?"
8,i need help retrieving my account password
8,"I forgot ym account password,  can I retrieve it?"
9,"I want to modify my purchase, can you tell me where to do it?"
12,"i wanna submit an opiunio for a service, what can i do?"
6,"you aren't helping, how can I contact a person?"
5,"the cincert was postopned, can I get a refund, please?"
0,"i have a problem making a payment, what do i have to do?"
2,can you tell me what the mail of the Customer Service is?
7,"i can't find my invoices, can u view them?"
3,i wanna get information about seeing a bill
0,"i have an issue making a payment with card, what should i do to report it?"
6,"I can't understand you, help me speak with a human agent"
8,"i lost my password, help me recover it"
3,can you get some bills?
4,can i check my fucking orders?
4,"please, i wanna know how to check my packages"
12,I am happy with the service and I'd like tro submit an opinion
4,tell me where I can trackmy order
12,"I want to make a comment for a service, can you help me?"
9,"i ordered something, what should i do to modify my fucking purchase?"
4,"I want to track my delivery, tell me how to do it"
10,"id like to cancel my profile, how can i do it?"
8,"my user account's been hacked, can u help me?"
2,how to send an email to Client Service
6,"I do not understand you and I would like to contact fucking someone, please"
2,can u show me information about the email of the Client Service?
0,"an error pops when I attempt to pay, can you help me?"
2,tell me what the mail of Customer Support is
3,"Id like to request an invoice, can you tell me where I can do it?"
4,ho can I track my delivery?
3,"could u ask an agent where I can obtain a fucking invoice, please?"
6,"you arent helping, what do i have to do to speak with a person?"
4,can u ask an agent to check my orders?
9,ask an agent to make a modification in my order
4,can you tell me where my purchase is?
11,"im not happy with the service, what should i do to submit a complaint?"
2,can oyu speak with Customer Seevice?
3,ask an agent how to see some invoices
11,how to lodge a complaint
11,I need help making a consumer complaint for a service
13,where could I view your money back policy?
4,I want to know where to track my packages
1,tell me if I can register several online accounts with a single email address
11,"im not happy with the service , what can i do to submit an complaint?"
6,"you arent helping, i need help talking to a human, please"
11,"i wanna submit a ocmplaint for a service, what should i do?"
8,I forgot my account password and I want to recover it
4,"I want to track my order, tell me how to do it"
7,"I want to view my invoice, what can I do?"
4,"I want to track my package, tell me how to do it"
9,information about changing my order
2,"can u find information about the mail to contact Client Service, please?"
9,I ofdeed something and i want to modify my purchase
3,what information do you have about requesting some invoices?
13,"i want to view your money back policy, can u help me?"
6,"youre not helping, i need help talking to someone"
1,can you tell me if I can create two user accounts with a single email?
3,can u ask an agent how I can obtain an invoice?
0,"I got an error when I attempted to pay, but I was charged anyway, I need help informing of it"
8,"my account was hacked, and I need help recovering it"
8,"I want to retrieve my password, can you help me?"
7,can u ask an agent to give me information about my invoices?
1,"i want an account, can u create one?"
11,"i dont like the service, how do i file a complaint?"
11,I want to lodge a consumer complaint for a service
0,where can I report an issue making a payment?
3,ask an agent for information about seeing some bills
9,"i made a mistake, what should I do to modify my purchase?"
11,how can I make a complaint?
4,is my package on its way?
3,how do I request an invoice?
8,"I lost my account apssword, retrieve it"
2,"I want information,I need help sending an email to Customer Support"
9,"I ordered a product, i need help modifying my order"
5,"the event was cancelled  , obtain a reimbursement"
10,I don't want my account
12,I need help writing a review
5,"I want a reimbursement, how do I obtain one?"
4,how can I view the status of my purchase ?
6,you aren't helping and I want to contact a person
1,"I've got no account, how do I create one?"
3,could u ask an agent where to get an invoice?
9,"I ordered an item, what do I have to do to modify my purchase?"
12,"I'm happy with the service, help me lodge a review"
13,"I want to see your money back policy, can you help me ?"
12,"I'm happy with the service, what can I do to lodge a review?"
10,I changed my mind and I want to delete my online account
6,"you're not helping, what can I do to talk to a human agent?"
1,"I have no online account, what can I do to create one?"
8,my user account was hacked and I want to recover it
9,"i ordered something, how can i modify my purchase?"
6,i want to pseak with a human gaent
10,"I changed my mind, can I remove my account?"
13,can you give me information about your reimbursement policy?
11,where can I lodge a complaint for a service?
11,ask an agent where to file a fucking complaint
12,"ask an agent how I can write a fucking opinion, please"
3,can u ask an agent how I can obtain a bill?
7,"I wan to view my bills, what can I do?"
8,"I lost my account password, what do I have to do to retrieve it?"
1,I haven't got an account and I want to create one
5,"I want a reimbursement, help me obtain one"
8,could u ask an agent if i could retrieve my password?
4,"I want to track my shipments, tell me how to do it"
13,how to see your erimbursement policy
6,"you aren't helping, what shgould I do to talk to a human?"
10,"I don't want my account, what do I have to do to close it?"
11,"i want to submit a complaint for a service, what should i do?"
6,can u talk to a human?
7,"I can't find my invoice, what do I have to do to see it?"
12,"i want to make a comment, what can i do?"
10,how can I delete my cacount?
4,can you tell me how to check my delivery?
1,"I haven't got a user account, what can I do to register?"
10,ask an agent where to remove my account
0,"I got an error when I tried to pay, but I was charged anyway, how can I notify it?"
9,"I purchased something, what should I do to modify my purchase?"
12,"please, can u ask an agent how i can leave an opinion for a service?"
4,how can I view the status of my order?
7,ask an agent if i can check my invoice
8,"i cant remember my account password, what should i do to recover it?"
10,"I changed my mind, help me cancel my user account"
1,where can I  create a profile?
7,"I can't find my bills, what should I do to see them?"
1,can u ask an agent where i could create an online account?
6,"I can't understand you, what do I have to do to speak with a person?"
8,"i forgot my account password, can i recover it?"
3,I want to know how to obtain some bills
9,"please, I want to know where I could modify my purchase"
2,can you tell me the mail of Customer Service?
2,"I need information, send an email to Customer Support"
7,I need help checking my bills
11,"I want to make a complaint, what can I do?"
2,I want to talk to Customer Service
11,"I want to make a consumer complaint for a service, what should I do?"
1,can you tell me if I can register several profiles with a single email address?
3,i wanna know if i can see some bills
4,can you tell me if i can track my order?
0,"I got an error when I attempted to make a payment, but I was charged anyway, what do I have to do to inform of it?"
6,"I don't understand you, how do I contact a human ?"
0,"i  have an issue paying for my order, can i inform of it?"
0,how do I report an issue paying?
3,I want to know how to see some bills
5,"the concert was cancelled, help me request a reimbursement"
2,"I have a question, I need help talking to Customer Service"
5,"the event was cancelled, how can I obtain an refund?"
4,tell me where I can check my packages
3,"i would like to download a fucking bill, can you show me some information?"
0,where can I inform of a problem making a payment?
11,"I'm discontent with the service, what can I do to file a complaint?"
7,how to check my bills
8,"someone stole my account password, what do I have to do to retgrieve it?"
10,"i changed my mind, i need help removing my user account"
9,"I ordered an item, help me modify my purchase"
4,where to track my delivery
4,help me check my orders
10,how do I close my account?
4,canyou track my order?
4,how to check my order
11,"please,  can you ask an agent how I can  make a consumer complaint?"
6,"i dont understand you, can u talk to a human?"
12,where do I write an opinion?
11,I'm discontent with the service and I want to file a consumer complint
13,"please, ask an gaent how I can see their moneyback guarantee"
12,can I leave a review for a service?
9,"I bought na item, how can I change my order?"
9,"I purchased an product, what can I do to change my order?"
10,"I changed my mind, what can I do to close my online account?"
11,"I don't like the service, what do I have to do to make a consumer complaint?"
10,i want to close my profile
4,I want to know where to track my order
4,I want to know where I can check my deliveries
13,can I view your reimbursement policy?
0,"I have a problem paying for my order, I need help informing of it"
8,"I lost my account password, can I retrieve it?"
0,"I have a problem paying with card, what can I do to notify it?"
3,can u ask an agent where to get an invoice?
3,can you tell me how to download some bills?
2,show me the free number of Client Service
6,help me contact a person
3,"I want to obtain some bills, can you tell me how to do it?"
0,"i have an issue when trying to make a payment, what do i have to do to notify it?"
11,"I'm discontent with the service, what do I have to do to submit a complaint?"
9,"i purchased an item, how do I change my purchase?"
4,could u ask an agent where i can check the status of my order?
5,"the game was postponed, what can I do to get a reimbursement?"
6,"i cant understand you, help me contact a human"
10,how can I remove my user account?
10,"I changed my mind, help me delete my online account"
10,help me remove my account
9,"please, I wanna know where I can change my fucking order"
6,"you're not helping, can I speak with a human?"
0,I want to inform of an issue with my payment
9,"I want to change my purchase, can you tell me how I can do it?"
10,"I don't want my online account, what can I do to cancel it?"
10,where can i delete my account?
0,"I have an issue when trying to make an payment with card, what should I do to inform of it?"
2,"I want information, what do I have to do to call Customer Service?"
6,"I can't understand you, can you contact a human agent?"
6,"I can't understand you, how could I talk to someone?"
9,"I ordered an item, what should I do to modify my order?"
10,"i want to remove my online account, how can i do it?"
11,"I'm not happy with the service, how can I file a complaint?"
8,"I forgot my account password, retrieve it"
3,I need help seeing an invoice
5,"the game was postponed, request a reimbursement"
13,I don't know anything about your money back policy and I want to know about it
10,"I changed my mind, what should I do to remove my profile?"
7,ask an agent how I could see my invoices
3,"I want to request an invoice, can you give me some information?"
5,where to request a reimbursement
8,"could u ask an agent if i can retrieve my password, please?"
2,what's the free phone no to contact Customer Support?
9,"I purchased a product, what can I do to modify my order?"
13,"I'm interested in your money back guarantee, tell me about it"
13,"I want to view your money back guarantee, what can I do?"
7,"I didn't receive my bill, what should  do to iew it?"
5,"the event was cancelled, what do i have to do to request a reimbursement?"
9,"I ordered an item, I need help changing my purchase"
9,where to modify my purchase
8,"my online accouint was hacked, what should I do?"
6,"you're not helping, help me contact someone"
11,I need help making a complaint for a service
4,"please, could you ask an agent if I can track my package?"
7,"I lost my bills, show them"
0,"i get an error message when i attempt to pay for my online order, can u help me?"
6,"I can't understand you, help me talk to a person"
2,"I need information, can I send an email to Customer Support?"
13,can you show me information about your refund policy?
4,where do I see the status of my order?
5,"ask an agent how i can request a reimbursement, please"
2,"i want infofmation, send an email to client service"
1,I want to know if I can register several profiles with a single email address
6,"I can't understand you, what do I have to do to talk to a human agent?"
9,"I bought an item, I need help modifying my purchase"
1,I want to know if I can create several user accounts with the same email address
0,"can u ask an agent how i could notify a problem with my payment, please?"
8,"I can't remember my account password, I need help resetting it"
1,can I create more than one profile with the same email address?
1,can you tell me if i can create two fucking online accounts with the same email address?
13,show me yoru moneh back policy
0,where do I report an issue making a payment?
12,"i am happy with the service, i need help making a review, please"
5,how do I reqauest a refund ?
7,"I want to check my bills, what should I do ?"
2,"can you tell me what the free phone number to contact Customer Support is, please?"
0,"I have a problem paying with card, what can I do to inform of it?"
6,"I can't understand you, what do I have to do to speak with someone?"
5,the show was cancelled and i wanna obtain a reimbursement
9,"i ordered a product, can I change my order?"
11,"I'm not happy with the service, help me make a consumer complaint"
6,can you speak with a person?
2,show me the mail of Customer Support
0,"ask an agent where I can report issues with my payment, please"
12,how do i leave an opinion for a service?
4,"I want to track my fucking shipments, can you tell me how I can do it?"
9,i bought a product and i want to change my order
6,"I don't understand you, what do I have to  do to contact someone?"
7,"i didn't receive my bill, can i see it?"
2,what's the phone number of Customer Support?
6,"you aren't helping, help me speak with a human agent"
10,I need help removing my online account
0,an error message pops when i try to pay with card
5,"I want a reimbursement, can I request one?"
10,I don't want my online account and I want to remove it
6,"you're not helping, contact someone"
2,can you tell me the mail to contact Customer Support?
9,"I ordered an item, how do I modify my order?"
6,"I don't understand you, help me speak with a human"
10,how to delete my user account
4,I wanna check my package
4,can u ask an agent if my shipments are on their way?
7,where do I check my invoices?
6,"you're not helping, what do I have to do to speak with a human agent?"
1,"ive got no user account, what do i have to do?"
5,"the game was cancelled and  I'd like to get a refund, please"
1,"tell me if I could register several fucking profiles with the same email address, please"
10,ask an agent if i can remove my profile
7,can u ask an agent to give me information about my bill?
3,can I obtain an invoice?
8,"my user account was hacked, what can I do?"
2,"I have a question, what should I do to call Customer Service?"
3,ask an agent if i can see some biols
12,"I'm happy with the service , what do I have to do to file a comment?"
7,could u ask an agent how i could see my bill?
1,"I don't have a user account, how do I open one?"
4,elp me check my shipment
7,"I lost my invoices, view them"
3,tell me how I can request a bill
2,how do I contact Customer Support?
13,"I want to see your money back guarantee, what should I do, please?"
6,"you're not helping, how do I speak with a human?"
11,how do I file a complaint for a service?
3,"I want to get a bill, tell me where to do it"
3,can you reuest an bill?
5,"the concert was postponed, can i request a reimbursement?"
6,"you're not helping, what should I do to talk to a human?"
1,I don't hace an account and I want to register
12,"I want to make an opinion for a service, can you help me?"
9,"i bought a product, can I change my order?"
11,"I don't like the service , submit a consumer complaint"
1,I want to know if I can have more than one user account
4,i wanna know how I can check my order
1,"I haven't got a pfofile, can you create one?"
0,"I got no payment confirmation, what should I do?"
4,tell me how I can check my orders
1,"I want an account, what do I have to do to open one?"
5,"the event was cancelled , what can I do to get a refund?"
10,"please, can you ask an agent if I could close my fucking account?"
4,i want to know where to check my orders
2,i wanna know whzt the email of the Customer Service is
10,"i want to delete my account, where can i do it?"
2,"could you tell me the mail to contact custmoer service, please?"
11,where do I file a complaint for a service?
1,"please, could you tell me if i could create two user accounts with a single email?"
3,"could you ask an agent for information about getting some invoices, please?"
2,"I need information, help me contact Client Service"
7,"I can't find my bills, what do I have to do to see them?"
12,"I'm happy with the service, what should I do to lodge a review?"
6,how to contact a person
4,"I want to view the status of my order, what do I have to do?"
1,i want to know if i could register two profiles with a single email address
3,"I want to see an invoice, tell me how to do it"
10,I don't want my profile and I want to delete it
11,"i wanna lodge a consumer complaint, what can i do?"
5,could u ask an agent to receive a reimbursement?
2,"i want information, what should i do to speak with client service?"
0,"i have an issue when trying to pay for my online order, ineed help reporting it"
1,I don't have an online account and I want to register
13,I do not know anything about your money back guarantee and I want to know about it
7,i can't find my bills and i want to view them
4,can I get the tracking number for my order?
12,ask an agent if I could leave an opinion for a service
3,information about getting some invoices
13,I'm intewrested kn your refund policy and I want to know about it
10,where can I cancel my online account?
5,"the game was cancelled, how can I obtain a refund?"
3,I want to request information about seeing some invoices
2,how do i contact client service?
9,"i wanna modify my purchase before you send it, please"
13,can i see your money back guarantee?
10,"I changed my mind, how do I close my account?"
8,"someone stole my account password, how do I reset it?"
9,"I made a mistake, can i modify my fucking order?"
2,"i have a question, what should i do to send an email to customer support?"
9,"Id like to modify my order, tell me how I can do it"
11,how can I file a complaint?
11,"I'm not happy with the service, I need help making a complaint"
6,"you arent helping, what can i do to contact a person?"
9,"I  ordered something, what should I do to modify my order?"
8,"please, can you ask an agent how I can retrieve my account password?"
0,"i have a problem making a payment, can i inform of it?"
11,"can u ask an agent how i could mje a complaint, please?"
0,I need help inforning of issues making a payment
2,can you tell me what the mail address to contact Client Service is?
7,can u show me my bills?
9,"please, could you ask an agent to change my purchase before they send it?"
2,I want to see the mail to contact Customer Service
10,"I don't want my account, can you delete it?"
5,i need help requesting an refund
5,"the shw was cancelled, how do i get a refund ?"
8,"I can't remember my password, how do I reset it?"
5,"the concert was cancelled, what should I do to request a reimbursement?"
13,can u ask an agent where to check their money back policy?
8,I can't remember my account password and I want to recover it
1,"please, ask an agent if i could create a profile"
2,can you give me information about the email of the Customer Support?
4,tell me where to check my shipments
4,tell me where to track my shipment
6,"you aren't helping , how can I talk to a human agent?"
8,i need help recovering my account password
5,"the concert was cancelled, what should I do to request a refund?"
8,"my online account was hacked, what do I have to do?"
5,"the concert was cancelled, how can i request a reimbursement?"
7,"I can't fidn my bills, help me view them"
8,"i cant remember my password, can u recover it?"
9,"i bought something, what do i have to do to modify my order?"
2,"i want information, how do i speak with client service?"
2,"could u show me the number to contact Customer Service, please?"
5,how do I obtain a refund?
6,"i cant understand you, how could i speak with a human?"
8,"my profile was hacked, what should i do to get it back?"
8,"my profile was hacked, what can I do?"
3,I need help getting a bill
4,where can I check my packages?
4,I want to know if my order is on its way
4,I want to know how to check my delivery
0,"I get an error message qhen I try to pay with card, what can I do?"
13,i wanna see your money back guarantee
8,"someonme stole my account password, I need help resetting it"
12,how can I leave an opinion?
10,ask an agent if i can delete my user account
11,"I'm discontent with the service, how could I submit a complaint?"
8,"I can't remember my account password, retrieve it"
0,"i have a pproblem paying with card, help me notify it"
6,"you aren't helping, I need help speaking with a human"
0,"I didn't get a payment validation, what do I have to do?"
8,"I lost my account password, what should I do to retrieve it?"
2,can you tell me the mail address of the Client Service?
12,"I want to file a comment for a service, can you help me?"
6,"I can't understand you and I would like to talk to someone, please"
8,"I forgot my password, what should I do?"
2,can u show me the number of Customer Service?
6,"you aren't helping, help me contact a human"
10,"I changed my mind, what hould I do to close my online account?"
11,"I want to submit a complaint for a service , what do I have to do?"
9,"I purchased an item, can I change my purchase?"
0,where can I report issues making a payment?
2,"I have a question, can you speak with Customer Support?"
1,"I want an account, what should I do?"
3,I wannaa know where I can download an invoice
13,"I want to check your money back guarantee, what do I have to do?"
0,"i have a problem when trying to pay for my order, how do i notify it ?"
9,what information do you have about modifying my order?
0,i have a problem making a payment and i wanna inform of it
6,"you're noty helping, what can I do to talk to someone?"
13,I want information about your money back policy
1,can I create two accounts with a single email address?
6,how to contact a human agent
7,"please, could you ask an agent where to view my bill?"
13,"I want to view your money back policy, can you help me?"
2,"i need information, how do i speak with client service?"
11,"I'm not happy with the service, can you submit a consumer complaint?"
4,"please, can you ask an agent if I could track my fucking order?"
8,"i forgot my account pasword, what do i have to do to reset it?"
12,how do I leave a review for a service?
8,"my user account has been hacked, what should i do to get it back?"
9,"i purchased an item, i need help changing my purchase, please"
3,tell me about downloading an invoice
11,where do I file a consumer complaint?
6,can you tell me if there is any human agent available?
12,"i am happy with the service, can u lodge a comment?"
13,where can I see your money back policy?
1,"I have no fucking account, how do I create one?"
1,tell me if I can create several profiles with the same eemail
3,tell me about getting an invoice
4,where do I viwe the status of my purchase?
4,ask an agent were i could view the status of my purchase
1,I want to knowif I can register several online accounts with the same email
7,"i lost my billp, can u show it?"
12,can u ask an agent how to leave a comment for a service?
11,"im not happy with the service, what should i do to file a consumer complaint ?"
11,"I don't like the service, submit a complaint"
13,how can I view your reimbursement policy?
11,"I'm not happy with the service, can you file a complaint?"
11,"i dont like the service, what do i have to do to lodge a consumer complaint?"
6,"I don't understand you, what do I have to do to speak with a human?"
4,can you tell me how to check mky order ?
10,"I don't want my profile, close it"
1,I want to know if I can create two profiles with the same email
3,"I want to obtain some invoices, tell me how I can do it"
